huisnummer,postcode,nrAanduiding,vblObject,inOnderzoek,gebruiksdoel,oppervlakte,vbloStatus
1,7738PS,175200000007436,175010000007626,False,industriefunctie,256,in gebruik
13,1135GG,385200000013957,385010000013946,False,woonfunctie,218,in gebruik
9,7041GX,1955200000043144,1955010000040022,False,industriefunctie,2902,in gebruik
89,6827AL,202200000334649,202010000334650,False,woonfunctie,124,in gebruik
5,7041KJ,1955200000042594,1955010000040009,False,industriefunctie,7296,in gebruik
22,5521DZ,770200000009530,770010000009468,False,kantoorfunctie,275,in gebruik
53,5521DZ,770200000006965,770010000003771,False,industriefunctie,8338,in gebruik
74,6831AJ,202200000296835,202010000296836,False,industriefunctie,465,in gebruik
3,6984AA,221200000326899,221010000326900,False,overige gebruiksfunctie,3180,in gebruik
11,6673DP,1734200000057921,1734010000032073,False,kantoorfunctie,291,in gebruik
2,6988BM,299200000454548,299010000454549,False,logiesfunctie,75,in gebruik
1,7041GE,1955200000058316,1955010000041796,False,industriefunctie,2091,in gebruik
7,3771NS,203200001010119,203010001010120,False,industriefunctie,21955,in gebruik
15,8255RN,303200000613887,303010000613888,False,industriefunctie,388,in gebruik (niet ingemeten)
19,6921RE,226200000038550,226010000038447,False,kantoorfunctie,800,gevormd
4,3771LN,203200000449701,203010000449700,False,kantoorfunctie,4050,in gebruik
65,6922JA,226200000019403,226010000019404,False,woonfunctie,264,in gebruik
5,6909DZ,299200000441044,299010000441045,False,industriefunctie,678,in gebruik
43,6921RE,226200000024523,226010000024524,False,overige gebruiksfunctie,1180,in gebruik
11,3781EP,203200000400225,203010000400226,False,woonfunctie,96,in gebruik
1,7031GG,222200000669694,222010000669695,False,kantoorfunctie,11302,in gebruik (niet ingemeten)
78,6902PK,299200000420415,299010000420416,False,industriefunctie,9868,in gebruik
1,6931SG,293200000010605,293010000010598,False,woonfunctie,280,in gebruik
109,3771MA,203200000363396,203010000363397,False,industriefunctie,1597,in gebruik
3,3959BE,1581200000108839,1581010000021632,False,industriefunctie,187,in gebruik
135,2131AR,394200000022480,394010000287172,False,industriefunctie,16920,in gebruik
7,5986PM,1894200000327747,1894010000327748,False,industriefunctie,26400,in gebruik
33,3771MA,203200000396352,203010000396353,False,industriefunctie,7360,in gebruik
1,6921RB,226200000019895,226010000019896,False,industriefunctie,23288,in gebruik
