huisnummer,postcode,nrAanduiding,vblObject,inOnderzoek
1,6525VK,0268200000013218,0268010000053132,False
28,6675AS,1734200000021547,1734010000035126,False
30,6661XG,1734207000122343,1734010000003757,False
23,6916BS,0196200000344013,0196010000344014,False
10,6827BD,0202200000311219,0202010000311220,False
114,6601JD,0296200000012806,0296010000010403,False
37,7061XV,1509200000218945,1509010000218946,False
14,4033KN,0214200000001312,0214010000001312,False
24,6921RW,0226200000026870,0226010000026871,False
78,7051WS,1509200000242089,1509010000242090,False
2,9414TN,1731200000008106,1731010000008002,False
308,6541CD,0268200000064239,0268010000074871,False
23,6545AC,0268200000018135,0268010000062993,False
25,6841HN,0202200000367472,0202010000367473,False
63,6811HC,0202200000396739,0202010000396740,False
15,6641EL,0209200000004304,0209010000004332,False
7,7271LC,1859200000850922,1859010000850923,False
110,6814KN,0202200000291229,0202010000291230,False
2,7041SC,1955200000047455,1955010000029117,False
9,6644AR,0209200000011173,0209010000009742,False
79,6921RZ,0226200000038054,0226010000038036,False
10,6551AD,0209200000000958,0209010000000712,False
10,6731EK,0228200000047055,0228010000047055,False
17,6616AV,0296200000007418,0296010000008865,False
4,6545AG,0268200000063308,0268010000003772,False
44,6961EK,0213200000006575,0213010000005901,False
27,6987EA,0299200000424719,0299010000424720,False
27,4143BR,0545200000349053,0545010000349054,False
2,6718XA,0228200000059686,0228010000059680,False
10,4401EZ,0703200000017910,0703010000006835,False
26,6523LC,0268200000029063,0268010000072750,False
2,7007CN,0222200000661859,0222010000661860,False
9,6602ET,0296200000001502,0296010000001563,False
16,6673DV,1734207000132248,1734016000002112,False
2,6611BP,0252200000021725,0252010000012609,False
5,7061AA,1509200000214081,1509010000214082,False
1,7102EM,0294200000414818,0294010000414819,False
7308,5692HH,0848200000002220,0848010000006539,False
43,6603AV,0296200000016773,0296010000017349,False
14,6718XT,0228200000052461,0228010000052459,False
36,5234GM,0796200000392485,0796010000392486,False
29,6621BV,0668200000008284,0668010000008282,False
7946,6601RP,0296200000006939,0296010000008227,False
16,3861SG,0267200000009273,0267010000018796,False
4020,6604LW,0296200000001874,0296010000002048,False
5,6611AH,0252200000021187,0252010000013431,False
74,6603BR,0296200000016945,0296010000017931,False
30,6602AV,0296200000000607,0296010000001032,False
40,6681LN,1705200000113612,1705010000022665,False
6,7091ZZ,0197200000497933,0197010000036337,False
7,4941VX,0779200000011172,0779010000011157,False
102,6524MJ,0268200000014986,0268010000048501,False
2025,6604LH,0296200000020566,0296010000020536,False
5,6581HN,0252200000024390,0252010000016138,False
10,6551DP,0209200000001364,0209010000000970,False
14,5651GR,0772200000097157,0772010000712254,False
21,6604BT,0296200000005553,0296010000005851,False
