vblObject,gebruiksdoel,oppervlakte,vbloStatus
252010000010139,industriefunctie,4480,in gebruik
252010000010425,woonfunctie,97,in gebruik
252010000010569,woonfunctie,128,in gebruik
252010000012609,woonfunctie,289,in gebruik (niet ingemeten)
252010000013323,woonfunctie,200,in gebruik
252010000013431,woonfunctie,117,in gebruik
252010000016138,kantoorfunctie,371,in gebruik
252010000018037,woonfunctie,333,in gebruik
262010000000383,woonfunctie,165,in gebruik
262010000001606,woonfunctie,71,in gebruik
262010000009461,kantoorfunctie,619,in gebruik
262010000012390,woonfunctie,108,in gebruik
262010000014622,woonfunctie,178,in gebruik
263010000001858,industriefunctie,3298,in gebruik
263010000002065,industriefunctie,29791,in gebruik
263010000002372,woonfunctie,159,in gebruik
263010000002484,woonfunctie,185,in gebruik
263010000002946,industriefunctie,403,in gebruik
263010000003222,woonfunctie,145,in gebruik
263010000003784,kantoorfunctie,350,in gebruik
263010000004473,woonfunctie,159,in gebruik
263010000004968,woonfunctie,180,in gebruik
263010000005757,woonfunctie,128,in gebruik
263010000012633,woonfunctie,136,in gebruik
267010000000251,winkelfunctie,7450,ingetrokken
267010000005333,woonfunctie,119,in gebruik
267010000010436,woonfunctie,75,in gebruik
267010000011866,woonfunctie,144,in gebruik
267010000013979,industriefunctie,5019,in gebruik
267010000014168,woonfunctie,458,in gebruik
267010000014465,woonfunctie,229,in gebruik
267010000014707,woonfunctie,135,in gebruik
267010000016248,woonfunctie,51,in gebruik
267010000016921,woonfunctie,159,in gebruik
267010000017801,industriefunctie,831,in gebruik
267010000018796,industriefunctie,362,ingetrokken
