,HUISNR,PC
1422,6150,3002AD
1423,30,2132MR
1424,342,3012NJ
1425,11,3208KH
1426,1068,3000BB
1427,59069,3008PB
1428,24150,3007DD
1429,164,3194AM
1430,59119,3008PC
1431,161,3071NR
1432,50,2987VE
1433,5322,3008AH
1434,76,3223XJ
1435,1030,3160AE
1436,815,1077XX
1437,4,4782PP
1438,44,3062SH
1439,50,6222NW
1440,1159,3000BD
1441,107,3088GC
1442,1,3088GN
1443,607,3195ZG
1444,5490,3008AL
1445,23213,3001KE
1446,89,3316AK
1447,706,5900AS
1448,41,3165AM
1449,1,1437EP
1450,149,3000AC
1451,159,3192NB
1452,56,3311TH
1453,174,2980AD
1454,44,3197KJ
1455,182,2901HC
1456,21059,3001AB
1457,1294,3000BG
1458,1,1437EM
1459,6087,4780LX
1460,1150,1430BD
1461,5,3196KC
