kvk_nummer,bedrijfsnaam
08009968,D. Huenestein
08130708,W. Herms & Zn. B.V.
08102248,PARO Transport B.V.
20071028,"A.C.G. Bömers, h.o.n. A. Bömers"
23046493,Loonwerkbedrijf Van der Schee B.V.
08020944,"T. Last, h.o.n. Vethandel T. Last"
02043707,METALCHEM  B.V.
27160718,Veolia Papier Recycling Den Haag B.V.
04070524,Koers Handel B.V.
04064663,Visser Assen Recycling B.V.
17072458,Sanders Transport B.V.
12014980,Cementbouw Logistics B.V.
02029879,"J. Zwama, h.o.n. Zwama Transport Bedrijf Grijpskerk"
11027570,"P.J. Crum, h.o.n. Internationaal Transportbedrijf P.J. Crum"
17073755,Dikker Zeelst B.V.
18054372,Dikker Limburg B.V.
27180119,Verboon Transport & Handel B.V.
16088901,Theo Heijmans Transport B.V.
06058477,V.o.f. Wim van Houtert Handel
09040821,Bruil Infra B.V.
18131907,Frans van den Mosselaar Autorecycling en Autodemontage B.V.
39050597,Cirwinn B.V.
34098746,Afvalzorg Deponie B.V.
24132100,Stierman V.O.F.
06043203,Moxba B.V.
08026653,Van Gelder Papier Groep B.V.
21015055,Indaver IWS (Industrial Waste Services) B.V.
29051495,Stubbe B.V.
28078591,Buitelaar Transport B.V.
38014408,"M.H. Hoogeboom Raalte B.V., h.o.n. Hoogeboom Grondverzet en Recycling"
50788590,Gemeente Assen
34365024,Gemeente Amstelveen 
20079681,"V.o.f. Jacobs-Bastiaansen, h.o.n. G. Jacobs Transport"
24264075,P. van der Kooij Groep B.V.
17067512,H.S. Transporten B.V.
34060504,Millenaar en Van Schaik Transport B.V.
13020322,Limburgse Mineraalbrekerij B.V.
02319559,Transportbedrijf Groenewold V.o.f.
34071105,H. Jak Transportbedrijf B.V. 
67601235,Loonbedrijf Tot
06028522,Truck & Trailer Twenthe B.V.
17155659,Mandemakers Transport B.V.
30117975,De Dukdalf Transport B.V.
18042432,Stam Transport B.V.
30013768,Griffioen Fourage & Transport B.V.
20016250,"Jongeneelen Transport B.V., h.o.n. Transportbedrijf Jongeneelen"
35030695,Transport-Verhuur-Aannemingsbedrijf Gebr. Oudejans B.V.
29025519,Kruiswijk Transport B.V.
09049606,T.C.U. Transport- en Containerservice Ulft B.V.
09109932,V.C.R. Im- en Export Handelsmaatschappij B.V.
09072294,V.C.R. Beheer B.V.
37030108,V.o.f. J. & J. Wester
